File_Path,Speaker,Transcription,Session
05M_564,05M,moth,565
05M_565,05M,nail,566
05M_566,05M,nod,567
05M_567,05M,now,568
05M_567v2,05M,now,569
05M_568,05M,numb,570
05M_569,05M,open the window,571
05M_570,05M,pants,572
05M_571,05M,pen,573
05M_572,05M,pillow,574
05M_573,05M,plane,575
05M_574,05M,plate,576
05M_575,05M,poor,577
05M_576,05M,rail,578
05M_577,05M,rake,579
05M_578,05M,ray,580
05M_579,05M,read,581
05M_580,05M,red,582
05M_581,05M,rich,583
05M_582,05M,rim,584
05M_583,05M,rope,585
05M_584,05M,rough,586
05M_585,05M,rug,587
05M_586,05M,run,588
05M_587,05M,rush,589
05M_588,05M,rust,590
05M_589,05M,she has a red ball,591
05M_589v2,05M,she has a red ball,591v2
05M_589v3,05M,she has a red ball,591v3
05M_590,05M,she plays the piano,592
05M_591,05M,shirt,593
05M_592,05M,short,594
05M_593,05M,shout,595
05M_594,05M,sing,596
05M_595,05M,sing on the chair,597
05M_596,05M,snag,598
05M_597,05M,snatch,599
05M_598,05M,sound,600
05M_599,05M,spin,601
05M_600,05M,stand up tall,602
05M_601,05M,stand,603
05M_602,05M,sun,604
05M_603,05M,swan,605
05M_604,05M,swing,606
05M_605,05M,tall,607
05M_606,05M,the bird flies high,608
05M_607,05M,the bird flies in the skies,609
05M_608,05M,the bird flies in the skies,609v2
05M_608v2,05M,the book is on the table,610
05M_609,05M,the dog runs fast,611
05M_610,05M,the duck waddles,612
05M_611,05M,the frog jumps high,613
05M_612,05M,the fruit is sweet,614
05M_613,05M,the ice melts quickly,615
05M_614,05M,the kite flies in the wind,616
05M_615,05M,the rain is fall softly,617
05M_615v2,05M,the rain is fall softly,617v2
05M_616,05M,the tree is green,618
05M_617,05M,the wind is cool,619
05M_618,05M,they are coming soon,620
05M_618v2,05M,they are coming soon,620v2
05M_619,05M,this book is fun,621
05M_620,05M,tiny,622
05M_621,05M,tongue,623
05M_622,05M,toss,624
05M_623,05M,towl,625
05M_624,05M,toy,626
05M_625,05M,tree,627
05M_626,05M,truck,628
05M_627,05M,under,629
05M_628,05M,walk,630
05M_629,05M,warm,631
05M_630,05M,we eat for snack,632
05M_631,05M,we have a new house,633
05M_632,05M,we went to the park,634
05M_632v2,05M,we went to the park,634v2
05M_632v3,05M,we went to the park,634v3
05M_633,05M,wide,635
05M_634,05M,window,636
05M_635,05M,you are my friend,637
05M_635v2,05M,you are my friend,637v2
05M_636,05M,brush your teeth,638
05M_636v2,05M,brush your teeth,638v2
05M_637,05M,close the door softly,639
05M_638,05M,close the window,640
05M_639,05M,draw a picture,641
05M_640,05M,drink your water,642
05M_641,05M,fold the paper,643
05M_641v2,05M,fold the paper,643v2
05M_642,05M,jump on the bed,644
05M_643,05M,move the box,645
05M_644,05M,open the box,646
05M_644v2,05M,open the box,646v2
05M_645,05M,paint the wall blue,647
05M_645v2,05M,paint the wall blue,647v2
05M_646,05M,read the story,648
05M_647,05M,sit on the chair,649
05M_648,05M,stand up tall,650
05M_649,05M,The apple is juicy,651
05M_649v2,05M,The apple is juicy,651v2
05M_650,05M,the ball is round,652
05M_651,05M,the bird is chirping,653
05M_651v2,05M,the bird is chirping,653v3
05M_652,05M,the bird has bright feathers,654
05M_653,05M,the book is interesting,655
05M_654,05M,the cake is sweet,656
05M_654v2,05M,the cake is sweet,656v2
05M_655,05M,the cat is fluffy,657
05M_656,05M,the chair is soft,658
05M_657,05M,the clouds are moving,659
05M_658,05M,the day is bright,660
05M_658v2,05M,the day is bright,660v2
05M_658v3,05M,the day is bright,660v3
05M_659,05M,the dog is playful,661
05M_660,05M,the fish is shiny,662
05M_660v2,05M,the fish is shiny,662v2
05M_661,05M,the flowers are blooming,663
05M_662,05M,the flowers smells sweet,664
05M_662v2,05M,the flowers smells sweet,664v2
05M_663,05M,the grass is damp,665
05M_663v2,05M,the grass is damp,665v2
05M_664,05M,the grass is green,666
05M_664v2,05M,the grass is green,666v2
05M_665,05M,the moon is high,667
05M_666,05M,the morning is fresh,668
05M_667,05M,the pilllow is so comfy,669
05M_668,05M,the rain is falling,670
05M_668v2,05M,the rain is falling,670v2
05M_669,05M,the rivers flows fast,671
05M_670,05M,the room is so quiet,672
05M_670v2,05M,the room is so quiet,672v2
05M_671,05M,the sand is soft,673
05M_672,05M,the sky is cloudy,674
05M_672v2,05M,the sky is cloudy,674v2
05M_673,05M,the snow is soft,675
05M_674,05M,the soup is warm,676
05M_675,05M,the stars are bright,677
05M_675v2,05M,the stars are bright,677v2
05M_676,05M,the stars twinkle at night,678
05M_677,05M,the sun is setting,679
05M_678,05M,the toy is colorful,680
05M_679,05M,the tree is growing tall,681
05M_680,05M,the tree is strong,682
05M_681,05M,the trees are tall,683
05M_681v2,05M,the trees are tall,683v2
05M_682,05M,the water is clear,684
05M_683,05M,the water is cold,685
05M_684,05M,the wind is blowing,686
05M_685,05M,turn the lights off,687
05M_686,05M,turn the page slowly,688
05M_687,05M,walk slowly,689
05M_688,05M,wash the dishes,690
05M_689,05M,wash your face,691
05M_690,05M,we have a new house,692
05M_691,05M,write the answer,693
05M_691v2,05M,write the answer,693v2
06M_692,06M,the bat appears dull,692
06M_692v2,06M,the bat appears dull,692v2
06M_693,06M,the bat appears noisy,693
06M_693v2,06M,the bat appears noisy,693v2
06M_694,06M,the bat appears quiet,694
06M_694v2,06M,the bat appears quiet,694v2
06M_695,06M,the bat feels clean,695
06M_695v2,06M,the bat feels clean,695v2
06M_696,06M,the bat feels colorful,696
06M_696v2,06M,the bat feels colorful,696v2
06M_697,06M,the bat seems quiet,697
06M_697v2,06M,the bat seems quiet,697v2
06M_698,06M,the bat shines colorful,698
06M_698v2,06M,the bat shines colorful,698v2
06M_699,06M,the bat shines heavy,699
06M_699v2,06M,the bat shines heavy,699v2
06M_700,06M,the bat shines noisy,700
06M_700v2,06M,the bat shines noisy,700v2
06M_701,06M,the bat sounds colorful,701
06M_701v2,06M,the bat sounds colorful,701v2
06M_702,06M,the bat sounds peaceful,702
06M_702v2,06M,the bat sounds peaceful,702v2
06M_703,06M,the bat sounds strong,703
06M_703v2,06M,the bat sounds strong,703v2
06M_704,06M,the bat shines clean,704
06M_704v2,06M,the bat shines clean,704v2
06M_705,06M,the cap appears beautiful,705
06M_705v2,06M,the cap appears beautiful,705v2
06M_706,06M,the cap appears cold,706
06M_706v2,06M,the cap appears cold,706v2
06M_707,06M,the moon shines hot,707
06M_708,06M,the man sounds peaceful,708
06M_709,06M,the cap feels peaceful,709
06M_709v2,06M,the cap feels peaceful,709v2
06M_710,06M,the cap feels soft,710
06M_710v2,06M,the cap feels soft,710v2
06M_711,06M,the cap looks beautiful,711
06M_711v2,06M,the cap looks beautiful,711v2
06M_712,06M,the cap looks smooth,712
06M_712v2,06M,the cap looks smooth,712v2
06M_713,06M,the cap seems cool,713
06M_713v2,06M,the cap seems cool,713v2
06M_714,06M,the path looks quiet,714
06M_715,06M,the cap seems strong,715
06M_715v2,06M,the cap seems strong,715v2
06M_716,06M,the blue looks warm,716
06M_717,06M,the cap shines dull,717
06M_717v2,06M,the cap shines dull,717v2
06M_718,06M,the cap shines shiny,718
06M_718v2,06M,the cap shines shiny,718v2
06M_719,06M,the cap shines smooth,719
06M_719v2,06M,the cap shines smooth,719v2
06M_720,06M,the cap shines strong,720
06M_720v2,06M,the cap shines strong,720
06M_721,06M,the cap sounds cool,721
06M_721v2,06M,the cap sounds cool,721v2
06M_722,06M,the cap sounds rough,722
06M_722v2,06M,the cap sounds rough,722v2
06M_723,06M,the cap sounds shiny,723
06M_723v2,06M,the cap sounds shiny,723v2
06M_724,06M,the pat appears gentle,724
06M_724v2,06M,the pat appears gentle,724v2
06M_725,06M,the pat appears hot,725
06M_725v2,06M,the pat appears hot,725v2
06M_726,06M,the pat appears strong,726
06M_726v2,06M,the pat appears strong,726v2
06M_727,06M,the pat looks gentle,727
06M_727v2,06M,the pat looks gentle,727v2
06M_728,06M,the pat seems cold,728
06M_728v2,06M,the pat seems cold,728v2
06M_729,06M,the pat seems cool,729
06M_729v2,06M,the pat seems cool,729v2
06M_730,06M,the pat shines colorful,730
06M_730v2,06M,the pat shines colorful,730v2
06M_731,06M,the pat shines heavy,731
06M_731v2,06M,the pat shines heavy,731v2
06M_732,06M,the pat shines soft,732
06M_732v2,06M,the pat shines soft,732v2
06M_733,06M,the forest trail winds unhurriedly,733
06M_734,06M,the pat sounds dull,734
06M_734v2,06M,the pat sounds dull,734v2
06M_735,06M,the pat sounds messy,735
06M_735v2,06M,the pat sounds messy,735v2
06M_736,06M,the pat sounds quiet,736
06M_736v2,06M,the pat sounds quiet,736v2
06M_737,06M,the path looks light,737
06M_737v2,06M,the path looks light,737v2
06M_738,06M,the tap appears messy,738
06M_738v2,06M,the tap appears messy,738v2
06M_739,06M,the tap appears quiet,739
06M_739v2,06M,the tap appears quiet,739v2
06M_740,06M,the tap appears warm,740
06M_740v2,06M,the tap appears warm,740v2
06M_741,06M,the tap feels clean,741
06M_741v2,06M,the tap feels clean,741v2
06M_742,06M,the tap feels strong,742
06M_742v2,06M,the tap feels strong,742v2
06M_743,06M,the tap looks cool,743
06M_743v2,06M,the tap looks cool,743v2
06M_744,06M,the tap looks strong,744
06M_744v2,06M,the tap looks strong,744v2
06M_745,06M,the tap seems colorful,745
06M_745v2,06M,the tap seems colorful,745v2
06M_746,06M,the tap shines heavy,746
06M_746v2,06M,the tap shines heavy,746v2
06M_747,06M,the tap shines hot,747
06M_747v2,06M,the tap shines hot,747v2
06M_748,06M,the tap shines peaceful,748
06M_748v2,06M,the tap shines peaceful,748v2
06M_749,06M,the tap shines rough,749
06M_749v2,06M,the tap shines rough,749v2
06M_750,06M,the tap shines strong,750
06M_750v2,06M,the tap shines strong,750v2
06M_751,06M,the tap sounds warm,751
06M_751v2,06M,the tap sounds warm,751v2
06M_752,06M,the bag appears beautiful,752
06M_752v2,06M,the bag appears beautiful,752v2
06M_753,06M,the bag seems slow,753
06M_753v2,06M,the bag seems slow,753v2
06M_754,06M,the base seems clean,754
06M_754v2,06M,the base seems clean,754v2
06M_755,06M,the bat appears cold,755
06M_755v2,06M,the bat appears cold,755v2
06M_756,06M,the bat appears colorful,756
06M_756v2,06M,the bat appears colorful,756v2
06M_757,06M,the bat appears heavy,757
06M_757v2,06M,the bat appears heavy,757v2
06M_758,06M,the bat feels bright,758
06M_758v2,06M,the bat feels bright,758v2
06M_759,06M,the bat feels fast,759
06M_759v2,06M,the bat feels fast,759v2
06M_760,06M,the bat feels light,760
06M_760v2,06M,the bat feels light,760v2
06M_761,06M,the bat feels quiet,761
06M_761v2,06M,the bat feels quiet,761v2
06M_762,06M,the bat feels slow,762
06M_763,06M,the bat looks beautiful,763
06M_763v2,06M,the bat looks beautiful,763v2
06M_764,06M,the bat looks heavy,764
06M_765,06M,the bat looks shiny,765
06M_765v2,06M,the bat looks shiny,765v2
06M_766,06M,the bat seems beautiful,766
06M_767,06M,the bat seems slow,767
06M_768,06M,the bat shines bright,768
06M_769,06M,the bat shines strong,769
06M_769v2,06M,the bat shines strong,769v2
06M_770,06M,the bat sounds cold,770
06M_770v2,06M,the bat sounds cold,770v2
06M_771,06M,the bat sounds gentle,771
06M_771v2,06M,the bat sounds gentle,771v2
06M_772,06M,the bat sounds messy,772
06M_773,06M,the bat sounds shiny,773
06M_773v2,06M,the bat sounds shiny,773v2
06M_774,06M,the cap appears gentle,774
06M_774v2,06M,the cap appears gentle,774v2
06M_774v3,06M,the cap appears gentle,774v3
06M_775,06M,the cap appears heavy,775
06M_775v2,06M,the cap appears heavy,775v2
06M_776,06M,the cap appears noisy,776
06M_776v2,06M,the cap appears noisy,776v2
06M_777,06M,the cap appears quiet,777
06M_777v2,06M,the cap appears quiet,777v2
06M_778,06M,the cap feels light,778
06M_778v2,06M,the cap feels light,778v2
06M_778v3,06M,the cap feels light,778v3
06M_778v4,06M,the cap feels light,778v4
06M_779,06M,the cap feels shiny,779
06M_780,06M,the cap feels warm,780
06M_780v2,06M,the cap feels warm,780v2
06M_781,06M,the cap looks fast,781
06M_781v2,06M,the cap looks fast,781v2
06M_782,06M,the cap looks messy,782
06M_783,06M,the cap looks noisy,783
06M_783v2,06M,the cap looks noisy,783v2
06M_784,06M,the cap looks strong,784
06M_784v2,06M,the cap looks strong,784v2
06M_785,06M,the cap seems clean,785
06M_785v2,06M,the cap seems clean,785v2
06M_786,06M,the cap seems cold,786
06M_787,06M,the cap seems colorful,787
06M_787v2,06M,the cap seems colorful,787v2
06M_788,06M,the cap seems dull,788
06M_788v2,06M,the cap seems dull,788v2
06M_788v3,06M,the cap seems dull,788v3
06M_788v4,06M,the cap seems dull,788v4
06M_788v5,06M,the cap seems dull,788v5
06M_788v6,06M,the cap seems dull,788v6
06M_789,06M,the cap seems warm,789
06M_789v2,06M,the cap seems warm,789v2
06M_790,06M,the cap shines beautiful,790
06M_790v2,06M,the cap shines beautiful,790v2
06M_791,06M,the cap shines cold,791
06M_791v2,06M,the cap shines cold,791v2
06M_791v3,06M,the cap shines cold,791v3
06M_791v4,06M,the cap shines cold,791v4
06M_792,06M,the cap shines colorful,792
06M_792v2,06M,the cap shines colorful,792v2
06M_792v3,06M,the cap shines colorful,792v3
06M_793,06M,the cap shines cool,793
06M_793v2,06M,the cap shines cool,793v2
06M_794,06M,the cap shines fast,794
06M_794v2,06M,the cap shines fast,794v2
06M_795,06M,the cap shines gentle,795
06M_796,06M,the cap shines noisy,796
06M_796v2,06M,the cap shines noisy,796v2
06M_797,06M,the cap shines warm,797
06M_797v2,06M,the cap shines warm,797v2
06M_798,06M,the cap sounds slow,798
06M_798v2,06M,the cap sounds slow,798v2
06M_799,06M,the fish appears dull,799
06M_799v2,06M,the fish appears dull,799v2
06M_800,06M,the fish appears gentle,800
06M_800v2,06M,the fish appears gentle,800v2
06M_801,06M,the fish appears noisy,801
06M_801v2,06M,the fish appears noisy,801v2
06M_802,06M,the fish feels clean,802
06M_802v2,06M,the fish feels clean,802v2
06M_803,06M,the fish feels fast,803
06M_803v2,06M,the fish feels fast,803v2
06M_804,06M,the fish feels peaceful,804
06M_804v2,06M,the fish feels peaceful,804v2
06M_804v3,06M,the fish feels peaceful,804v3
06M_805,06M,the fish feels strong,805
06M_805v2,06M,the fish feels strong,805v2
06M_806,06M,the fish feels warm,806
06M_807,06M,the fish looks beautiful,807
06M_807v2,06M,the fish looks beautiful,807v2
06M_808,06M,the clap sounds smooth,808
06M_809,06M,the fish looks gentle,809
06M_809v2,06M,the fish looks gentle,809v2
06M_810,06M,the fish looks heavy,810
06M_810v2,06M,the fish looks heavy,810v2
06M_811,06M,the fish looks hot,811
06M_811v2,06M,the fish looks hot,811v2
06M_812,06M,the fish looks messy,812
06M_812v2,06M,the fish looks messy,812v2
06M_813,06M,the fish looks peaceful,813
06M_813v2,06M,the fish looks peaceful,813v2
06M_814,06M,the fish looks smooth,814
06M_814v2,06M,the fish looks smooth,814v2
06M_815,06M,the fish seems bright,815
06M_815v2,06M,the fish seems bright,815v2
06M_816,06M,the fish seems cold,816
06M_816v2,06M,the fish seems cold,816v2
06M_817,06M,the hillside cascades beautifully,817
06M_818,06M,the fish seems rough,818
06M_818v2,06M,the fish seems rough,818v2
06M_819,06M,the fish shines dull,819
06M_819v2,06M,the fish shines dull,819v2
06M_820,06M,the fish shines messy,820
06M_820v2,06M,the fish shines messy,820v2
06M_821,06M,the fish shines rough,821
06M_821v2,06M,the fish shines rough,821v2
06M_822,06M,the fish shines soft,822
06M_822v2,06M,the fish shines soft,822v2
06M_823,06M,the fish sounds cold,823
06M_823v2,06M,the fish sounds cold,823v2
06M_824,06M,the fish sounds heavy,824
06M_824v2,06M,the fish sounds heavy,824v2
06M_825,06M,the fish sounds warm,825
06M_825v2,06M,the fish sounds warm,825v2
06M_826,06M,the flash appears colorful,826
06M_826v2,06M,the flash appears colorful,826v2
06M_827,06M,the flash appears noisy,827
06M_827v2,06M,the flash appears noisy,827v2
06M_828,06M,the flash appears quiet,828
06M_828v2,06M,the flash appears quiet,828v2
06M_828v3,06M,the flash appears quiet,828v3
06M_828v4,06M,the flash appears quiet,828v4
06M_829,06M,the flash appears slow,829
06M_829v2,06M,the flash appears slow,829v2
06M_830,06M,the flash appears smooth,830
06M_830v2,06M,the flash appears smooth,830v2
06M_831,06M,the flash appears strong,831
06M_831v2,06M,the flash appears strong,831v2
06M_832,06M,the flash feels hot,832
06M_832v2,06M,the flash feels hot,832v2
06M_833,06M,the flash feels messy,833
06M_833v2,06M,the flash feels messy,833v2
06M_834,06M,the flash looks bright,834
06M_834v2,06M,the flash looks bright,834v2
06M_835,06M,the flash looks colorful,835
06M_835v2,06M,the flash looks colorful,835v2
06M_836,06M,the flash looks heavy,836
06M_836v2,06M,the flash looks heavy,836v2
06M_837,06M,the flash looks hot,837
06M_837v2,06M,the flash looks hot,837v2
06M_838,06M,the flash looks like,838
06M_838v2,06M,the flash looks like,838v2
06M_839,06M,the flash looks quiet,839
06M_839v2,06M,the flash looks quiet,839v2
06M_840,06M,the flash looks smooth,840
06M_840v2,06M,the flash looks smooth,840v2
06M_841,06M,the flash seems noisy,841
06M_841v2,06M,the flash seems noisy,841v2
06M_842,06M,the flash seems shiny,842
06M_842v2,06M,the flash seems shiny,842v2
06M_843,06M,the flash seems soft,843
06M_843v2,06M,the flash seems soft,843v2
06M_844,06M,the flash shines heavy,844
06M_844v2,06M,the flash shines heavy,844v2
06M_845,06M,the flash shines peaceful,845
06M_845v2,06M,the flash shines peaceful,845v2
06M_846,06M,the flash shines smooth,846
06M_847,06M,the flash sounds heavy,847
06M_847v2,06M,the flash sounds heavy,847v2
06M_848,06M,the flush feels clean,848
06M_848v2,06M,the flush feels clean,848v2
06M_849,06M,the flush feels shiny,849
06M_849v2,06M,the flush feels shiny,849v2
06M_850,06M,the pat appears heavy,850
06M_850v2,06M,the pat appears heavy,850v2
06M_851,06M,the pat feels beautiful,851
06M_851v2,06M,the pat feels beautiful,851v2
06M_852,06M,the pat feels bright,852
06M_852v2,06M,the pat feels bright,852v2
06M_853,06M,the pat feels gentle,853
06M_853v2,06M,the pat feels gentle,853v2
06M_853v3,06M,the pat feels gentle,853v3
06M_854,06M,the pat looks clean,854
06M_854v2,06M,the pat looks clean,854v2
06M_855,06M,the pat seems colorful,855
06M_855v2,06M,the pat seems colorful,855v2
06M_856,06M,the pat seems strong,856
06M_856v2,06M,the pat seems strong,856v2
06M_857,06M,the pat seems warm,857
06M_857v2,06M,the pat seems warm,857v2
06M_858,06M,the pat shines shiny,858
06M_858v2,06M,the pat shines shiny,858v2
06M_859,06M,the pat shines warm,859
06M_859v2,06M,the pat shines warm,859v2
06M_860,06M,the pat sounds clean,860
06M_860v2,06M,the pat sounds clean,860v2
06M_860v3,06M,the pat sounds clean,860v3
06M_860v4,06M,the pat sounds clean,860v4
06M_861,06M,the pat sounds gentle,861
06M_861v2,06M,the pat sounds gentle,861v2
06M_861v3,06M,the pat sounds gentle,861v3
06M_861v4,06M,the pat sounds gentle,861v4
06M_862,06M,the pat sounds hot,862
06M_862v2,06M,the pat sounds hot,862v2
06M_863,06M,the pat feels rough,863
06M_864,06M,the pat looks quiet,864
06M_865,06M,the path seems light,865
06M_865v2,06M,the path seems light,865v2
06M_866,06M,the safe appears peaceful,866
06M_866v2,06M,the safe appears peaceful,866v2
06M_867,06M,the path feels rough,867
06M_868,06M,the safe feels cool,868
06M_868v2,06M,the safe feels cool,868v2
06M_869,06M,the safe feels slow,869
06M_869v2,06M,the safe feels slow,869v2
06M_870,06M,the safe feels soft,870
06M_870v2,06M,the safe feels soft,870v2
06M_871,06M,the safe feels strong,871
06M_871v2,06M,the safe feels strong,871v2
06M_872,06M,the safe looks gentle,872
06M_872v2,06M,the safe looks gentle,872v2
06M_872v3,06M,the safe looks gentle,872v3
06M_872v4,06M,the safe looks gentle,872v4
06M_872v5,06M,the safe looks gentle,872v5
06M_872v6,06M,the safe looks gentle,872v6
06M_873,06M,the blue feels colorful,873
06M_874,06M,the safe seems light,874
06M_874v2,06M,the safe seems light,874v2
06M_875,06M,the safe shines clean,875
06M_875v2,06M,the safe shines clean,875v2
06M_876,06M,the safe shines cool,876
06M_876v2,06M,the safe shines cool,876v2
06M_877,06M,the safe shines slow,877
06M_877v2,06M,the safe shines slow,877v2
06M_878,06M,the safe shines soft,878
06M_878v2,06M,the safe shines soft,878v2
06M_879,06M,the safe sounds hot,879
06M_879v2,06M,the safe sounds hot,879v2
06M_880,06M,the safe sounds soft,880
06M_880v2,06M,the safe sounds soft,880v2
06M_881,06M,the tap appears peaceful,881
06M_881v2,06M,the tap appears peaceful,881v2
06M_882,06M,the tap appears soft,882
06M_882v2,06M,the tap appears soft,882v2
06M_883,06M,the tap feels cold,883
06M_883v2,06M,the tap feels cold,883v2
06M_884,06M,the tap feels cool,884
06M_884v2,06M,the tap feels cool,884v2
06M_885,06M,the tap feels hot,885
06M_885v2,06M,the tap feels hot,885v2
06M_886,06M,the tap feels noisy,886
06M_886v2,06M,the tap feels noisy,886v2
06M_887,06M,the tap looks clean,887
06M_887v2,06M,the tap looks clean,887v2
06M_888,06M,the tap looks heavy,888
06M_888v2,06M,the tap looks heavy,888v2
06M_889,06M,the tap seems messy,889
06M_889v2,06M,the tap seems messy,889v2
06M_890,06M,the tap seems shiny,890
06M_890v2,06M,the tap seems shiny,890v2
06M_891,06M,the tap seems soft,891
06M_891v2,06M,the tap seems soft,891v2
06M_892,06M,the tap shines messy,892
06M_892v2,06M,the tap shines messy,892v2
06M_893,06M,the tap shines slow,893
06M_893v2,06M,the tap shines slow,893v2
06M_893v3,06M,the tap shines slow,893v3
06M_893v4,06M,the tap shines slow,893v4
06M_894,06M,the tap sounds quiet,894
06M_894v2,06M,the tap sounds quiet,894v2
06M_895,06M,the vase appears clean,895
06M_895v2,06M,the vase appears clean,895v2
06M_896,06M,the vase appears cool,896
06M_896v2,06M,the vase appears cool,896v2
06M_897,06M,the vase appears fast,897
06M_898,06M,the vase appears noisy,898
06M_898v2,06M,the vase appears noisy,898v2
06M_899,06M,the vase appears smooth,899
06M_899v2,06M,the vase appears smooth,899v2
06M_900,06M,the vase feels bright,900
06M_901,06M,the vase feels light,901
06M_901v2,06M,the vase feels light,901v2
06M_902,06M,the vase feels quiet,902
06M_902v2,06M,the vase feels quiet,902v2
06M_902v3,06M,the vase feels quiet,902v3
06M_902v4,06M,the vase feels quiet,902v4
06M_903,06M,the vase feels strong,903
06M_903v2,06M,the vase feels strong,903v2
06M_904,06M,the vase feels warm,904
06M_904v2,06M,the vase feels warm,904v2
06M_905,06M,the vase looks light,905
06M_905v2,06M,the vase looks light,905v2
06M_906,06M,the vase looks warm,906
06M_906v2,06M,the vase looks warm,906v2
06M_906v3,06M,the vase looks warm,906v3
06M_906v4,06M,the vase looks warm,906v4
06M_907,06M,the vase seems bright,907
06M_907v2,06M,the vase seems bright,907v2
06M_908,06M,the vase seems colorful,908
06M_908v2,06M,the vase seems colorful,908v2
06M_909,06M,the vase seems gentle,909
06M_909v2,06M,the vase seems gentle,909v2
06M_910,06M,the vase seems noisy,910
06M_910v2,06M,the vase seems noisy,910v2
06M_911,06M,the vase seems quiet,911
06M_911v2,06M,the vase seems quiet,911v2
06M_912,06M,the vase seems strong,912
06M_912v2,06M,the vase seems strong,912v2
06M_913,06M,the vase sounds bright,913
06M_913v2,06M,the vase sounds bright,913v2
06M_914,06M,the vase sounds heavy,914
06M_914v2,06M,the vase sounds heavy,914v2
06M_915,06M,the vase sounds light,915
06M_915v2,06M,the vase sounds light,915v2
06M_916,06M,the vase sounds noisy,916
06M_916v2,06M,the vase sounds noisy,916v2
06M_917,06M,the vase sounds rough,917
06M_917v2,06M,the vase sounds rough,917v2
06M_918,06M,the black appears cool,918
06M_918v2,06M,the black appears cool,918v2
06M_919,06M,the black feels warm,919
06M_919v2,06M,the black feels warm,919v2
06M_920,06M,the black looks heavy,920
06M_920v2,06M,the black looks heavy,920v2
06M_921,06M,the black looks peaceful,921
06M_921v2,06M,the black looks peaceful,921v2
06M_922,06M,the black looks shiny,922
06M_922v2,06M,the black looks shiny,922v2
06M_923,06M,the black seems dull,923
06M_923v2,06M,the black seems dull,923v2
06M_923v3,06M,the black seems dull,923v3
06M_924,06M,the black seems strong,924
06M_924v2,06M,the black seems strong,924v2
06M_925,06M,the black shines gentle,925
06M_925v2,06M,the black shines gentle,925v2
06M_926,06M,the black shines slow,926
06M_926v2,06M,the black shines slow,926v2
06M_927,06M,the black seems warm,927
06M_928,06M,the blue looks peaceful,928
06M_928v2,06M,the blue looks peaceful,928v2
06M_929,06M,the blue looks smooth,929
06M_929v2,06M,the blue looks smooth,929v2
06M_930,06M,the blue seems colorful,930
06M_930v2,06M,the blue seems colorful,930v2
06M_930v3,06M,the blue seems colorful,930v3
06M_930v4,06M,the blue seems colorful,930v4
06M_931,06M,the blue seems rough,931
06M_931v2,06M,the blue seems rough,931v2
06M_932,06M,the blue shines clean,932
06M_932v2,06M,the blue shines clean,932v2
06M_933,06M,the blue shines vold,933
06M_933v2,06M,the blue shines vold,933v2
06M_934,06M,the blue shines warm,934
06M_934v2,06M,the blue shines warm,934v2
06M_935,06M,the blue sounds beautiful,935
06M_935v2,06M,the blue sounds beautiful,935v2
06M_936,06M,the blue sounds noisy,936
06M_936v2,06M,the blue sounds noisy,936v2
06M_937,06M,the blue sounds strong,937
06M_937v2,06M,the blue sounds strong,937v2
06M_938,06M,the clap feels gentle,938
06M_938v2,06M,the clap feels gentle,938v2
06M_939,06M,the clap feels quiet,939
06M_939v2,06M,the clap feels quiet,939v2
06M_939v3,06M,the clap feels quiet,939v3
06M_940,06M,the clap feels shiny,940
06M_940v2,06M,the clap feels shiny,940v2
06M_941,06M,the clap looks colorful,941
06M_941v2,06M,the clap looks colorful,941v2
06M_941v3,06M,the clap looks colorful,941v3
06M_942,06M,the clap looks cool,942
06M_942v2,06M,the clap looks cool,942v2
06M_943,06M,the clap looks hot,943
06M_943v2,06M,the clap looks hot,943v2
06M_944,06M,the clap seems bright,944
06M_944v2,06M,the clap seems bright,944v2
06M_945,06M,the clap seems clean,945
06M_945v2,06M,the clap seems clean,945v2
06M_946,06M,the clap shines messy,946
06M_946v2,06M,the clap shines messy,946v2
06M_947,06M,the clap sounds smooth,947
06M_948,06M,the clap sounds heavy,948
06M_948v2,06M,the clap sounds heavy,948v2
06M_949,06M,the clap sounds light,949
06M_949v2,06M,the clap sounds light,949v2
06M_949v3,06M,the clap sounds light,949v3
06M_950,06M,the clap feels warm,950
06M_950v2,06M,the clap feels warm,950v2
06M_951,06M,the fish appears colorful,951
06M_951v2,06M,the fish appears colorful,951v2
06M_952,06M,the fish appears light,952
06M_952v2,06M,the fish appears light,952v2
06M_953,06M,the fish appears peaceful,953
06M_953v2,06M,the fish appears peaceful,953v2
06M_954,06M,the fish appears strong,954
06M_954v2,06M,the fish appears strong,954v2
06M_954v3,06M,the fish appears strong,954v3
06M_955,06M,the fish feels heavy,955
06M_955v2,06M,the fish feels heavy,955v2
06M_956,06M,the fish looks colorful,956
06M_956v2,06M,the fish looks colorful,956v2
06M_956v3,06M,the fish looks colorful,956v3
06M_956v4,06M,the fish looks colorful,956v4
06M_957,06M,the fish looks shiny,957
06M_957v2,06M,the fish looks shiny,957v2
06M_958,06M,the fish seems colorful,958
06M_958v2,06M,the fish seems colorful,958v2
06M_959,06M,the fish seems dull,959
06M_959v2,06M,the fish seems dull,959v2
06M_959v3,06M,the fish seems dull,959v3
06M_959v4,06M,the fish seems dull,959v4
06M_960,06M,the fish seems heavy,960
06M_960v2,06M,the fish seems heavy,960v2
06M_961,06M,the fish seems hot,961
06M_961v2,06M,the fish seems hot,961v2
06M_962,06M,the fish seems light,962
